GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Village Council,Pohar,1602.85924483,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,2020,7.92,99.1,244.27,399.35,750.64
Gram Panchayet,Kathalia,1385.90510724,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,2020,240.98,391.84,282.41,299.51,1214.74
Village Council,Ambuchai,592.837673005,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,2020,58.22,114.76,114.93,147.04,434.95
Gram Panchayet,Khunati,1442.23013254,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,2020,212.45,288.73,301.85,327.69,1130.72
Gram Panchayet,Kasta Kumar Para,1104.2153466,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,2020,50.91,181.45,223.8,301.3,757.46
Gram Panchayet,Sakyamuni,752.264378597,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,2020,66.29,226.73,234.02,146.15,673.19
Gram Panchayet,Gaburchara,341.116399955,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,2020,81.66,88.58,59.47,44.77,274.48
Village Council,Sanghati,893.876368877,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,2020,73.6,177.02,170.77,250.66,672.05
Village Council,Khumthaima,615.063500273,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2020,10.65,41.26,70.61,226.58,349.1
Village Council,Twisawatalok,862.388207809,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2020,30.1,104.63,154.36,278.77,567.86
Village Council,Vaktiram,422.330906142,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,2020,8.81,34.25,66.35,163.28,272.69
Gram Panchayet,Swrangdi,1433.46054891,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,2020,204.51,418.3,300.3,263.35,1186.46
Village Council,Yakalam,1633.77252567,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2020,44.61,143.9,168.69,634.68,991.88
,Raikalam,247.275454696,South Tripura,Santirbazar,Bagafa,Bagafa,,2020,4.34,14.03,24.55,91.54,134.46
Village Council,Laxmicherra,1842.4554739,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2020,7.05,67.46,200.65,660.51,935.67
Village Council,Pragati,402.764040818,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,2020,31.85,64.59,116.17,139.97,352.58
Village Council,Rabithakur,658.744148845,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,2020,119.13,197.56,161.85,63.09,541.63
Village Council,Agragati,1325.87281894,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,2020,14.87,78.7,113.72,571.22,778.51
Gram Panchayet,Maitry,509.009811421,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,2020,81.64,149.33,130.31,82.34,443.62
Village Council,Twisawaklou,761.369388166,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,2020,94.11,170.14,198.72,144.01,606.98
Village Council,Taj,888.612506686,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2020,72.94,186.93,229.35,253.72,742.94
Village Council,Twichoma,408.782866957,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,2020,18.74,96.34,82.8,130.67,328.55
Village Council,Paribartan,1214.43749487,South Tripura,Belonia,Bagafa,Bagafa,Debipur,2020,1.76,27.69,71.42,558.48,659.35
Gram Panchayet,Sanghati,999.114289477,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,2020,152.08,293.56,268.37,126.53,840.54
Gram Panchayet,Banakalayan,560.090779087,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,2020,99.24,266.27,115.83,33.99,515.33
Village Council,Kokbang Motha,438.549315413,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,2020,13.89,37.27,48.32,186.42,285.9
Village Council,Valasa,776.451286667,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2020,60.4,156.51,199.6,208.76,625.27
Gram Panchayet,MBBKM,502.520168767,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2020,136.55,222.89,66.24,29.01,454.69
Village Council,Patichari,1377.00627167,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2020,146.7,349.44,432.53,261.58,1190.25
Village Council,Kamihumkrai,1231.93858827,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,2020,38.24,134.62,177.43,467.17,817.46
Village Council,Takma,1823.70062033,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,2020,112.65,369.7,450.35,483.18,1415.88
Village Council,Yaprikta,1758.70186956,South Tripura,Belonia,Bagafa,Devipur,Debipur,2020,9.07,81.22,145.75,771.74,1007.78
Village Council,Sabujdeep,1349.79597252,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,2020,29.27,233.19,574.88,265.93,1103.27
Village Council,Sonapur,477.951873531,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,2020,42.03,206.67,129.32,17.23,395.25
,Janakalyan,488.747277659,Sepahijala,Sonamura,Melaghar,Kalakhet,,2020,49.27,245.48,129.73,19.2,443.68
,Agragami,508.719874497,Sepahijala,Sonamura,Melaghar,Kalakhet,,2020,121.24,271.72,61.65,8.29,462.9
Gram Panchayet,Harichand Humkrai,576.980486944,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,2020,22.25,253.25,188.35,32.81,496.66
Village Council,Chandulkami,1048.45460114,Sepahijala,Sonamura,Melaghar,Induria,Chandul,2020,65.93,351.24,362.54,104.37,884.08
Gram Panchayet,Indra Kumar Para,634.393480741,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,2020,136.55,266.59,110.69,21.97,535.8
,Ramapadapara,122.991213557,Sepahijala,Sonamura,Melaghar,Sonamara,,2020,6.42,75.17,15.37,1.01,97.97
Gram Panchayet,Matinagar,1617.82966655,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,2020,162.67,1093.81,126.04,6.81,1389.33
Village Council,Panchnaliya,647.303111942,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,2020,10.65,349.6,144.29,13.16,517.7
Gram Panchayet,Kamalnagar,627.091768573,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,2020,80.38,379.61,61.29,1.01,522.29
Village Council,Bijoynagar,874.579267008,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2020,24.66,422.33,169.98,8.12,625.09
Gram Panchayet,South Kalamchowra,656.865334562,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2020,86.46,411.3,44.47,1.88,544.11
Gram Panchayet,North Kalamchowra,533.959137835,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2020,93.61,315.1,24.98,1.12,434.81
Village Council,Anandanagar,446.009744782,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2020,22.42,206.91,29.18,0.87,259.38
Gram Panchayet,Ashabari,822.338754546,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,2020,63.35,500.6,87.64,5.43,657.02
Gram Panchayet,Kalshimura,502.227323255,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,2020,82.42,309.6,33.1,1.44,426.56
Village Council,Tarapadabari,244.503939572,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2020,35.09,149.08,20.15,1.09,205.41
Village Council,Goliraibari,810.030561919,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,2020,84.07,536.72,74.1,3.46,698.35
Gram Panchayet,Puttia,262.831221619,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,2020,103.79,125.35,14.5,0.41,244.05
Village Council,Bangshibari,1258.14121854,Sepahijala,Jampuijala,Charilam,Charilam,Pathaliaghat,2020,170.04,731.31,191.27,14.09,1106.71
Village Council,Nazrul,560.735426556,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2020,41.96,395.95,47.75,2.07,487.73
Village Council,Amarendranagar,604.836894405,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2020,29.19,405.79,86.22,2.79,523.99
Gram Panchayet,Manikyanagar,1294.79155294,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,2020,265.11,685.64,78.22,1.49,1030.46
Gram Panchayet,Veluarchar,940.993727651,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,2020,225.92,492.6,20.77,0.21,739.5
Village Council,Dingroi,832.489852984,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,2020,54.23,459.82,150.16,5.67,669.88
Village Council,Pitra Hatai,1001.2148316,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,2020,12.85,216.7,312.82,132.1,674.47
Village Council,Khumpoi Bodal,1311.98433764,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,2020,108.98,553.57,387.99,136.46,1187.0
Village Council,Aitorma,297.086402879,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,2020,83.07,105.25,37.22,10.18,235.72
Village Council,Mohanpur,961.962581945,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,2020,99.59,405.73,261.51,69.0,835.83
Village Council,Vasaitipu,349.260902593,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,2020,0.24,27.81,99.59,94.02,221.66
Village Council,Salka,943.570865159,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,2020,112.47,490.52,198.64,44.11,845.74
Village Council,Pravapur,859.706927865,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,2020,117.63,315.41,233.3,22.92,689.26
Village Council,Sindai Bodal,646.684640911,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2020,66.33,213.26,175.91,77.76,533.26
Village Council,Patirai Bodal,698.680543556,Sepahijala,Jampuijala,Jampuijala,Jampuijala,East Takerjala,2020,43.01,379.96,183.89,24.04,630.9
Village Council,Singna Dol,3614.2382895,Khowai,Teliamura,Mungiakami,Haludiachara,Nonacherra,2020,4.16,87.03,373.35,1300.09,1764.63
Village Council,Sambhucharan,1056.32342408,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2020,56.67,367.68,355.15,49.81,829.31
Village Council,Jhilingma,494.23564085,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2020,14.56,138.74,190.54,25.8,369.64
Village Council,East Belbari,453.255119188,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2020,21.6,103.86,126.8,42.3,294.56
Village Council,GangiaTwisa,808.559493131,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2020,17.02,136.11,166.82,137.24,457.19
Village Council,Zarzui,2625.12204138,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2020,35.45,239.5,484.32,834.79,1594.06
Village Council,Thansa Bodol,608.729765367,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2020,52.48,176.97,128.4,58.23,416.08
Village Council,R.C. Para,610.43528501,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2020,10.97,59.06,69.4,207.03,346.46
Village Council,Rwngsakha Bodal,1114.04071886,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2020,6.44,44.93,103.72,463.04,618.13
Gram Panchayet,Sardukarkari,763.860433134,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2020,9.0,62.11,103.85,236.45,411.41
Village Council,Narangbari,548.992290196,West Tripura,Jirania,Champknagar,Champabari,Champabari,2020,0.4,9.91,37.07,252.73,300.11
Village Council,Bamsree Twisa,988.047048601,West Tripura,Jirania,Champknagar,Belbari,Belbari,2020,109.99,266.89,256.07,72.99,705.94
Village Council,Deven Twisa,257.750097342,West Tripura,Jirania,Champknagar,Champabari,Champabari,2020,2.29,15.72,23.78,102.26,144.05
Gram Panchayet,Hawaibari,453.070933285,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2020,1.87,28.02,53.15,164.38,247.42
Village Council,KC Para,419.685934029,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2020,47.84,112.61,67.09,61.86,289.4
Village Council,Tuidolnai Bodal,1384.31455174,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2020,75.26,202.17,175.38,387.5,840.31
Village Council,Emmanualpara,364.658279758,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2020,4.85,27.98,39.56,150.97,223.36
Village Council,Bardwal,455.713048109,West Tripura,Jirania,Champknagar,Champabari,Champabari,2020,0.88,17.55,45.22,214.62,278.27
Gram Panchayet,Raktiacherra,171.425871573,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2020,19.98,58.44,29.53,17.47,125.42
Gram Panchayet,Hamkrai,242.300323507,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2020,46.34,70.2,37.96,29.7,184.2
Village Council,Aitorma Bodal,956.22022725,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2020,8.12,47.31,88.02,364.46,507.91
Village Council,Marthandol,2308.55502976,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2020,15.53,89.8,196.94,851.12,1153.39
Village Council,Sinai Kami,600.573796704,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2020,12.25,80.99,89.49,197.96,380.69
Village Council,Hardai,1250.35102569,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2020,49.71,199.4,161.49,401.2,811.8
Village Council,Bongshimukha,935.169956114,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2020,17.77,35.97,64.33,359.36,477.43
