GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2021,20.63,154.37,250.83,191.78,617.61
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2021,121.09,304.62,179.88,58.16,663.75
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2021,8.13,64.18,147.45,217.27,437.03
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2021,115.31,198.68,201.32,178.94,694.25
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2021,33.47,111.72,93.42,36.73,275.34
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2021,11.6,67.99,148.51,184.46,412.56
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2021,59.9,171.93,116.99,57.8,406.62
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2021,73.98,207.89,137.25,63.75,482.87
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2021,12.21,60.58,124.66,92.41,289.86
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2021,12.22,124.61,225.24,229.23,591.3
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2021,4.04,51.79,133.29,123.81,312.93
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2021,4.37,89.49,262.01,271.42,627.29
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,15.58,48.89,72.19,62.95,199.61
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2021,1.35,32.56,102.8,131.88,268.59
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2021,11.69,37.38,51.84,130.03,230.94
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,4.97,51.02,100.23,121.03,277.25
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2021,6.52,35.98,99.34,145.55,287.39
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,9.82,52.23,108.75,123.89,294.69
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2021,49.75,156.96,114.75,127.99,449.45
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,13.7,86.33,161.29,143.43,404.75
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2021,107.48,175.0,169.26,199.3,651.04
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2021,16.93,119.89,283.31,274.68,694.81
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2021,91.33,178.35,104.0,50.98,424.66
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2021,53.88,122.0,77.29,97.27,350.44
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2021,52.46,116.82,133.24,24.53,327.05
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2021,32.13,130.8,171.96,134.15,469.04
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2021,2.77,44.08,167.42,262.93,477.2
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2021,31.31,96.76,101.08,78.77,307.92
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2021,1.97,20.5,61.76,106.93,191.16
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2021,3.73,56.15,158.38,235.93,454.19
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2021,26.3,140.5,212.02,203.81,582.63
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2021,3.22,58.49,164.26,216.58,442.55
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2021,2.68,49.14,147.38,191.17,390.37
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,2021,3.51,13.18,43.38,103.93,164.0
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,2021,94.62,248.73,222.08,155.44,720.87
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,2021,57.74,123.53,110.27,88.13,379.67
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,2021,11.64,61.63,99.75,148.42,321.44
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,2021,85.57,229.95,123.86,34.36,473.74
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,2021,4.2,45.93,89.7,89.03,228.86
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,2021,74.26,164.04,87.1,28.37,353.77
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2021,52.57,181.55,139.5,81.61,455.23
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2021,46.76,287.06,270.11,198.99,802.92
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2021,18.12,120.21,102.5,40.56,281.39
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2021,53.47,295.09,241.26,96.03,685.85
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2021,6.36,82.88,150.81,142.19,382.24
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2021,45.52,182.36,194.48,175.63,597.99
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2021,53.91,214.02,195.15,82.33,545.41
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2021,19.73,130.18,154.23,108.9,413.04
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2021,8.61,93.55,184.94,305.22,592.32
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2021,4.97,98.44,276.96,439.06,819.43
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2021,10.5,57.13,78.02,71.51,217.16
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2021,58.87,273.82,268.25,167.58,768.52
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,2021,14.3,95.43,143.0,198.65,451.38
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2021,8.72,41.16,42.71,64.1,156.69
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2021,18.45,49.69,91.85,120.09,280.08
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2021,30.17,123.96,149.44,145.42,448.99
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2021,35.02,144.99,144.58,124.03,448.62
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2021,11.84,74.48,99.1,84.03,269.45
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2021,13.26,133.08,173.85,185.63,505.82
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2021,75.71,189.31,172.54,82.4,519.96
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2021,98.63,215.91,203.05,194.31,711.9
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2021,16.59,74.84,73.05,35.12,199.6
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2021,15.93,113.74,151.7,146.22,427.59
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2021,29.24,139.31,145.19,102.19,415.93
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2021,69.77,217.06,198.78,187.37,672.98
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2021,16.99,94.93,170.08,177.43,459.43
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,2021,53.5,168.38,99.68,32.24,353.8
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2021,22.39,63.33,110.32,154.51,350.55
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,2021,25.72,151.87,183.25,246.61,607.45
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2021,12.02,63.62,70.04,60.56,206.24
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,2021,1.21,41.75,81.15,67.51,191.62
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,2021,114.94,234.09,133.11,61.3,543.44
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,2021,34.29,239.82,287.69,371.51,933.31
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,2021,11.59,137.9,314.34,527.45,991.28
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2021,35.23,64.01,30.59,29.04,158.87
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,2021,35.7,129.53,172.05,219.6,556.88
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2021,173.18,507.53,371.86,259.14,1311.71
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,2021,40.54,96.47,99.47,86.65,323.13
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2021,82.36,192.05,162.65,135.24,572.3
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,2021,51.79,207.37,175.14,120.4,554.7
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,2021,60.75,244.7,420.28,755.03,1480.76
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,2021,43.98,166.42,188.4,200.64,599.44
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2021,30.66,194.48,175.13,125.19,525.46
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,2021,31.91,80.83,87.81,128.61,329.16
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,2021,51.81,501.17,766.85,557.62,1877.45
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,2021,146.02,212.53,188.61,180.97,728.13
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2021,53.67,263.12,305.5,219.83,842.12
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2021,10.85,81.45,100.06,78.09,270.45
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,2021,29.5,238.84,541.48,888.35,1698.17
Gram Panchayet,Newlife,404.453588489,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,2021,3.54,26.44,64.02,130.63,224.63
Village Council,Tuichakma,1369.39587677,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2021,56.35,263.23,266.64,201.11,787.33
Village Council,Sangranma EDC,564.976198781,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2021,17.3,126.45,152.68,121.72,418.15
Village Council,Beledi EDC,1637.86754538,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2021,78.93,370.2,293.3,278.59,1021.02
Village Council,Kamalai,446.579247994,Gomati,Amarpur,Ampi,Chechua,Lalgiri,2021,16.08,88.95,107.51,97.33,309.87
Village Council,Bankarai Para,1537.91756356,Gomati,Amarpur,Amarpur,Bampur,Gungia,2021,28.94,122.75,210.45,534.97,897.11
Village Council,Sukmohan JFMC (e Beat),1533.31558346,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,2021,92.8,222.25,254.87,406.72,976.64
Village Council,Uttar Thakurcherra,784.793738606,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Pancharatan,2021,26.57,160.91,189.04,132.74,509.26
Village Council,Ranipukur EDC,1044.58660753,Dhalai,Gandacherra,Gonda Twisa,Rani Pukur,Ranir Pukur,2021,37.99,240.32,288.23,185.76,752.3
Gram Panchayet,Puskini,1252.60892601,Gomati,Amarpur,Killa,Uttar Baramura,Bampur,2021,149.9,304.78,211.0,231.85,897.53
Village Council,Chhankhola,981.427272311,Gomati,Udaipur,Killa,Uttar Baramura,South Brajendra Nagar,2021,93.5,178.8,177.22,190.21,639.73
Village Council,Ramnagar EDC,1100.93826337,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2021,86.01,297.93,242.27,205.78,831.99
Village Council,Omlakbari,569.041694708,Gomati,Udaipur,Killa,Nitya Bazar,Noabari,2021,75.87,114.38,92.69,116.6,399.54
Village Council,Biswaram Para EDC,159.819158467,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2021,0.49,13.76,38.05,32.31,84.61
Village Council,Nagarai Bangsi,735.013897708,Gomati,Amarpur,Ampi,Chechua,South Sangang,2021,38.39,96.93,123.46,198.77,457.55
Village Council,Mach kumir EDC,653.566986486,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2021,103.51,225.7,114.24,51.49,494.94
Village Council,Kalajhari,2429.89047419,Gomati,Amarpur,Amarpur,Kalajhari,Gungia,2021,5.76,148.66,471.11,647.64,1273.17
Village Council,Hatimatha,281.115423049,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Tuichakma,2021,5.57,61.29,66.39,42.05,175.3
Village Council,Joychandra Para,644.176647335,Gomati,Amarpur,Amarpur,Sarbong,West Sarbong,2021,41.17,153.93,142.75,139.42,477.27
Village Council,North Sarma,826.505940311,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Narayan Pur,2021,37.46,218.91,202.23,97.19,555.79
Village Council,Laxmipur EDC,277.791337855,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Dhalajhari,2021,2.52,36.97,75.38,70.21,185.08
Village Council,Old Dalapati,1235.61875047,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Sarma,2021,16.53,162.37,301.98,224.57,705.45
Village Council,Mohankanta,1689.98615462,Gomati,Udaipur,Killa,Uttar Baramura,South Baramura,2021,18.21,123.3,250.04,533.86,925.41
Village Council,Sinsat,380.392529214,Gomati,Udaipur,Killa,Killa,Darjeeling,2021,10.38,44.71,70.78,99.17,225.04
Village Council,Thandachara,1124.8808031,Gomati,Udaipur,Killa,Khupilong,Kachigang,2021,58.67,167.74,318.45,256.69,801.55
Village Council,Salka,1667.3399919,Gomati,Amarpur,Ampi,Dhanlekha,Sonacherra,2021,101.45,304.68,344.75,421.32,1172.2
Village Council,Marua Colony,622.74700385,Gomati,Amarpur,Ampi,Chechua,South Sangang,2021,3.46,31.16,74.38,240.7,349.7
Village Council,Naharmabadal,1058.88519173,Gomati,Udaipur,Killa,Killa,Joyingbari,2021,51.06,128.4,180.36,320.78,680.6
Village Council,Chandrakumar EDC,1495.18798018,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Laxmipur,2021,106.21,286.52,321.96,283.26,997.95
Village Council,Atharabhola JFMC,496.808017671,Gomati,Udaipur,Killa,T.C Bari,Jalema,2021,36.61,124.28,179.82,55.15,395.86
Village Council,Thumbari,1274.37531363,Gomati,Udaipur,Killa,Killa,North Baramura,2021,13.19,70.96,158.01,459.36,701.52
Village Council,Haja Twisha,1493.50833705,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Dalapati,2021,11.51,146.35,331.32,324.74,813.92
Village Council,Ganda Twisa,3575.59010867,Gomati,Amarpur,Amarpur,Bampur,East Sarbong,2021,18.1,168.05,508.73,1194.03,1888.91
Village Council,Rangajhari EDC,643.266796865,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2021,15.3,93.81,138.24,152.09,399.44
Village Council,Kanankta Para,1994.00771791,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Uttar Gandacherra,2021,36.58,248.88,486.77,360.25,1132.48
Village Council,Longdhor,529.550897599,Gomati,Udaipur,Killa,Khupilong,Bagma,2021,49.76,131.46,178.94,63.5,423.66
Village Council,Ha Khamber,1676.57092761,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Kalyansing,2021,8.42,133.21,321.58,358.5,821.71
Village Council,Tangpaiya,4038.91704244,Gomati,Amarpur,Ampi,Ekjamchara,Ekjancherra,2021,54.84,297.05,576.4,1367.68,2295.97
Village Council,Serthum,588.342322225,Gomati,Amarpur,Ampi,Ampi,North Sangang,2021,6.58,44.95,118.69,178.71,348.93
Village Council,Jari Milre EDC,479.129054769,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2021,7.09,87.94,128.49,103.75,327.27
Village Council,Karna kishore,843.573821707,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,2021,2.21,53.02,154.68,192.13,402.04
Village Council,Kunarampara,431.406134638,Gomati,Amarpur,Ampi,Ekjamchara,Melchi,2021,26.04,68.47,100.55,117.84,312.9
Village Council,Temtui Kami,1542.28926988,Gomati,Amarpur,Ampi,Ampi,Chechua,2021,129.78,315.53,299.74,354.42,1099.47
Village Council,Mohannya Para,830.55952729,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bhagirath,2021,1.46,38.48,162.77,192.74,395.45
Village Council,Manthar,2448.32327165,Gomati,Udaipur,Killa,Killa,North Brajendra Nagar,2021,95.85,320.83,475.61,649.77,1542.06
Village Council,Hojagiri,236.027566788,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2021,3.42,34.93,51.08,55.26,144.69
Village Council,New Boncher,741.980581738,Gomati,Amarpur,Ampi,Ampi,Baishyamani,2021,4.5,33.01,116.8,260.44,414.75
Village Council,Atharamura,878.17251714,Gomati,Amarpur,Ampi,Ekjanchara,Gamaicherra,2021,40.12,116.34,174.26,231.91,562.63
Village Council,Lailak,1955.89556295,Gomati,Udaipur,Killa,T.C Bari,North Baramura,2021,5.34,68.74,268.57,657.89,1000.54
Village Council,Nelsi,572.938042447,Gomati,Amarpur,Ampi,Ampi,Ompinagar,2021,84.22,171.19,116.25,87.48,459.14
Village Council,Dalirai EDC,629.211105796,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,2021,4.73,73.92,145.13,114.29,338.07
Village Council,20 Kilo,1421.68418844,Gomati,Amarpur,Ampi,Dhanlekha,Gamaicherra,2021,1.67,50.4,211.62,526.89,790.58
Village Council,Balong Hamkrai Bodal EDC,838.229304652,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,2021,18.74,165.15,221.61,178.84,584.34
Village Council,Girachandra Para JFMC,1164.76782806,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,2021,5.91,98.57,247.63,212.42,564.53
Village Council,Nabakumar Para,706.868391588,Dhalai,Ambassa,Gonda Twisa,Bhagirath Para,Siddha Para,2021,1.82,62.1,141.21,141.95,347.08
Village Council,Salka,1142.3686874,Gomati,Amarpur,Amarpur,Sarbong,Haripur,2021,85.38,193.7,229.58,274.05,782.71
Village Council,Lungthang,1176.68077564,Gomati,Amarpur,Ampi,Dhanlekha,Toidudhepa,2021,43.29,122.81,202.13,375.79,744.02
Village Council,Ruhida & Rajaram,1001.25996196,Gomati,Amarpur,Ampi,Chankhala,East Taichalong,2021,24.31,76.88,171.21,312.04,584.44
Village Council,Agachaimarua,1831.60294938,Gomati,Udaipur,Killa,T.C Bari,North Baramura,2021,2.07,57.72,237.05,605.7,902.54
Village Council,Punlonga,518.544435583,Gomati,Amarpur,Ampi,Taidu,Taidu,2021,28.17,110.03,114.41,136.89,389.5
Village Council,Ramthwk,596.327238508,Gomati,Amarpur,Ampi,Chankhala,West Taichhlong,2021,39.55,98.13,110.15,160.53,408.36
Village Council,Athukrai,317.868260926,Dhalai,Ambassa,Ganganagar,Ganganagar,Radharambari,2021,1.86,36.38,81.43,62.51,182.18
Village Council,Yakbaksa,788.462383816,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,2021,3.97,80.39,203.76,137.57,425.69
Village Council,Harung Para,1368.11003648,Gomati,Amarpur,Ampi,Chankhala,Jambukcherra,2021,93.19,208.02,236.59,370.3,908.1
Village Council,Y-Ghati,1635.05976157,Gomati,Amarpur,Killa,T.C Bari,Palku,2021,12.5,86.84,229.7,568.01,897.05
Village Council,Batapara,3745.07682631,Gomati,Amarpur,Ampi,Chankhala,Ompicherra,2021,21.85,201.32,530.45,1333.83,2087.45
Village Council,Sisathai,514.241629853,Dhalai,Ambassa,Ganganagar,Karnamanipara,Ganganagar,2021,0.6,38.22,127.36,100.11,266.29
Village Council,Lungfung,1881.54096483,Gomati,Amarpur,Ampi,Taidu,North Toidu,2021,84.72,268.05,386.33,603.48,1342.58
Village Council,Nithok,652.387964658,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,2021,16.72,106.07,173.69,126.41,422.89
Village Council,Salpaha,1158.13871714,Dhalai,Ambassa,Ganganagar,Karmapara,Karma Para,2021,7.34,91.93,207.18,242.93,549.38
Village Council,Karasmai,1421.65324712,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,2021,8.36,135.64,296.22,345.48,785.7
Village Council,Tongthai,2842.31808744,Dhalai,Ambassa,Ganganagar,Karnamanipara,Tetaiya,2021,8.56,298.81,627.72,391.29,1326.38
Village Council,Khumber,1493.3623,Dhalai,Ambassa,Gonda Twisa,Ganganagar,Karanmani Para,2021,1.84,91.57,340.92,320.94,755.27
Village Council,Chaskhang,1573.75377408,Dhalai,Ambassa,Ganganagar,Karnamanipara,Gurudhan Para,2021,8.04,152.22,360.47,284.8,805.53
Village Council,Tuiyari,1186.53377723,Dhalai,Ambassa,Ganganagar,Karnamanipara,Gurudhan Para,2021,4.21,97.61,238.21,284.38,624.41
Village Council,Hamiyakma,1139.69679265,Dhalai,Ambassa,Ganganagar,Karmapara,Karma Para,2021,7.65,86.54,196.89,256.94,548.02
Village Council,LamKaham,1467.63399723,Dhalai,Ambassa,Ganganagar,Karnamanipara,Karanmani Para,2021,13.56,161.0,303.13,266.62,744.31
Village Council,Khasrang,1895.74790361,Dhalai,Ambassa,Ganganagar,Karnamanipara,Karanmani Para,2021,10.37,130.74,412.51,302.44,856.06
Gram Panchayet,Balipara,51.3958995764,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,2022,8.3,20.11,8.57,2.23,39.21
Gram Panchayet,Nathurampara,404.819844884,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,2022,31.62,151.77,76.26,29.27,288.92
Village Council,Herbatali,906.827718162,South Tripura,Belonia,Satchand,Betaga,Harbatali,2022,63.19,260.39,213.38,74.52,611.48
Village Council,Bhangamura,1082.58244613,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,2022,21.05,207.52,267.85,127.86,624.28
Village Council,Mandalipara,376.43932684,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,2022,21.12,119.59,78.78,28.5,247.99
Gram Panchayet,Srinagar,484.922792835,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,2022,51.11,179.14,126.3,58.72,415.27
Village Council,Dulakchari,473.804181204,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,2022,4.91,70.62,117.05,66.04,258.62
Gram Panchayet,Pongbari Kanalbari,440.919005037,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,2022,53.48,162.22,102.21,53.56,371.47
Village Council,Khumchari,571.43460311,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,2022,19.37,139.79,142.34,94.1,395.6
Village Council,Uttar Betaga,909.238935141,South Tripura,Belonia,Satchand,Betaga,Betaga,2022,32.27,223.26,225.5,70.78,551.81
Village Council,South Baisnabpur,783.786813016,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2022,32.95,211.5,208.29,98.22,550.96
Village Council,Joy Sing Bari,1079.85474589,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,2022,11.41,150.46,273.24,169.75,604.86
Village Council,Kaladhepa,371.514278694,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,2022,22.49,103.41,111.73,38.03,275.66
Village Council,Dakshin Bijoypur,606.200783885,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2022,15.33,115.03,176.01,114.84,421.21
Village Council,Gagrabosti,720.781687775,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,2022,55.02,211.69,152.38,83.13,502.22
Gram Panchayet,Madhupara,625.815532408,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,2022,5.51,72.22,138.51,160.11,376.35
Village Council,Phulchari,186.967252257,South Tripura,Sabroom,Satchand,Manubazar,North Kaladhepa,2022,8.19,56.75,62.96,16.79,144.69
Village Council,Ramchanpara,2353.09572343,South Tripura,Sabroom,Srinagar,Shankartilla,East Tekka Tulshi R.F,2022,38.21,379.38,588.47,344.77,1350.83
Village Council,Salka,1057.32737303,South Tripura,Sabroom,Bankul,Magroom,Magroom,2022,27.89,172.31,271.56,177.87,649.63
