GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Pohar,1602.859245,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,2020,123.87,182.79,125.1,223.14,654.9
Gram Panchayet,Kathalia,1385.905107,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,2020,44.59,21,56.01,5.6,127.2
Village Council,Ambuchai,592.837673,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,2020,33.77,29.68,34.12,33.33,130.9
Gram Panchayet,Khunati,1442.230133,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,2020,61.23,36.5,70.17,27.95,195.85
Gram Panchayet,Kasta Kumar Para,1104.215347,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,2020,77.48,61.04,72.33,60.91,271.76
Gram Panchayet,Sakyamuni,752.2643786,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,2020,18.56,10.23,28.03,2.99,59.81
Gram Panchayet,Gaburchara,341.1164,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,2020,5.59,3.96,11.24,2.83,23.62
Village Council,Sanghati,893.8763689,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,2020,45.08,36.7,53.87,36.9,172.55
Village Council,Khumthaima,615.0635003,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2020,73.05,63.65,34.24,74.88,245.82
Village Council,Twisawatalok,862.3882078,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2020,74,61.94,34.12,72.58,242.64
Village Council,Vaktiram,422.3309061,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,2020,51.5,32.24,18.02,50.97,152.73
Gram Panchayet,Swrangdi,1433.460549,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,2020,36.58,30.27,62.28,23.35,152.48
Village Council,Yakalam,1633.772526,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2020,232.62,194.39,77.82,274.24,779.07
,Raikalam,247.2754547,South Tripura,Santirbazar,Bagafa,Bagafa,,2020,31.45,25.72,13.49,41.16,111.82
Village Council,Laxmicherra,1842.455474,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2020,253.48,202.17,111.22,293.96,860.83
Village Council,Pragati,402.7640408,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,2020,23.33,12.78,20.34,5.24,61.69
Village Council,Rabithakur,658.7441488,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,2020,5.2,6.64,35.88,4.51,52.23
Village Council,Agragati,1325.872819,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,2020,222.29,169.44,67.48,260.63,719.84
Gram Panchayet,Maitry,509.0098114,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,2020,1.84,4.48,26.79,0.87,33.98
Village Council,Twisawaklou,761.3693882,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,2020,13.87,13.85,34.98,11.44,74.14
Village Council,Taj,888.6125067,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2020,39.54,20.86,44.18,11.54,116.12
Village Council,Twichoma,408.782867,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,2020,25.26,18.8,19.77,13.43,77.26
Village Council,Paribartan,1214.437495,South Tripura,Belonia,Bagafa,Bagafa,Debipur,2020,265.56,188.48,50.91,337.95,842.9
Gram Panchayet,Sanghati,999.1142895,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,2020,6.47,10.87,53.39,6.23,76.96
Gram Panchayet,Banakalayan,560.0907791,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,2020,0.19,1.59,11.49,0.18,13.45
Village Council,Kokbang Motha,438.5493154,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,2020,63.61,37.73,23.65,44.54,169.53
Village Council,Valasa,776.4512867,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2020,30.1,19.28,30.07,15.12,94.57
Gram Panchayet,MBBKM,502.5201688,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2020,0.18,0.74,8.09,0.18,9.19
Village Council,Patichari,1377.006272,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2020,17.31,13.01,52.34,5.04,87.7
Village Council,Kamihumkrai,1231.938588,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,2020,144.9,106.37,67.65,138.84,457.76
Village Council,Takma,1823.70062,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,2020,79.06,58.68,86.41,48.36,272.51
Village Council,Yaprikta,1758.70187,South Tripura,Belonia,Bagafa,Devipur,Debipur,2020,334.61,238.6,88.18,407.88,1069.27
Village Council,Sabujdeep,1349.795973,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,2020,24.73,28.01,81.58,15.41,149.73
Village Council,Sonapur,477.9518735,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,2020,0.68,8.41,37.21,0.88,47.18
,Janakalyan,488.7472777,Sepahijala,Sonamura,Melaghar,Kalakhet,,2020,0.56,3.21,27.1,0.58,31.45
,Agragami,508.7198745,Sepahijala,Sonamura,Melaghar,Kalakhet,,2020,0.64,1.73,20.15,0.54,23.06
Gram Panchayet,Harichand Humkrai,576.9804869,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,2020,2.73,6.96,48.39,3.7,61.78
Village Council,Chandulkami,1048.454601,Sepahijala,Sonamura,Melaghar,Induria,Chandul,2020,4.65,10.93,73.31,6.26,95.15
Gram Panchayet,Indra Kumar Para,634.3934807,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,2020,1.87,3.43,36.37,1.44,43.11
,Ramapadapara,122.9912136,Sepahijala,Sonamura,Melaghar,Sonamara,,2020,1.06,1.55,9.7,1.1,13.41
Gram Panchayet,Matinagar,1617.829667,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,2020,3.03,16.86,75.74,4.5,100.13
Village Council,Panchnaliya,647.3031119,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,2020,9.31,11.63,50.7,6.42,78.06
Gram Panchayet,Kamalnagar,627.0917686,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,2020,2.67,5.89,29.57,3.48,41.61
Village Council,Bijoynagar,874.579267,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2020,9.97,15.46,58.36,9.3,93.09
Gram Panchayet,South Kalamchowra,656.8653346,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2020,1.83,4.72,34.85,4.91,46.31
Gram Panchayet,North Kalamchowra,533.9591378,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2020,2.65,3.52,23.86,5.7,35.73
Village Council,Anandanagar,446.0097448,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2020,3.48,6.56,37.99,8.2,56.23
Gram Panchayet,Ashabari,822.3387545,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,2020,13.55,5.74,52.09,14.31,85.69
Gram Panchayet,Kalshimura,502.2273233,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,2020,3.07,1.01,14.39,4,22.47
Village Council,Tarapadabari,244.5039396,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2020,2.23,3.21,11.88,0.8,18.12
Village Council,Goliraibari,810.0305619,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,2020,2.36,5.42,35.4,1.27,44.45
Gram Panchayet,Puttia,262.8312216,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,2020,0.29,0.02,2.52,0.16,2.99
Village Council,Bangshibari,1258.141219,Sepahijala,Jampuijala,Charilam,Charilam,Pathaliaghat,2020,2.79,12.57,60.52,2.14,78.02
Village Council,Nazrul,560.7354266,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2020,2.13,4.14,26.64,1.23,34.14
