GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Ananda Kumar,413.7284721,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,2021,5.83,9.3,16.76,4.35,36.24
Village Council,Chota Sakbari,347.6400353,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,2021,3.96,8.83,17.75,5.91,36.45
Village Council,Maa Bankumai,1965.79398,South Tripura,Belonia,Hrishyamukh,Hrishyamukh,Dhananjoy Nagar,2021,178.45,295.37,114.37,381.33,969.52
Village Council,Chati,608.126203,South Tripura,Sabroom,Satchand,Bhuratali,North Taichima,2021,9.59,16.85,44.99,15.12,86.55
Gram Panchayet,Bhatubari,1539.280039,South Tripura,Belonia,Hrishyamukh,Motai,Debipur,2021,30.61,57.15,61.35,36.66,185.77
Village Council,Khakaham,709.415069,South Tripura,Belonia,Kakulia,Manirambari,Manirampur,2021,33.45,78.66,47.39,51.82,211.32
Village Council,South Hichachara,1035.420124,South Tripura,Santirbazar,Kakulia,Abhanga,Ramraibari,2021,16.38,30.3,47.6,18.38,112.66
Village Council,Thansha,687.6079532,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,2021,58.66,110.91,35.84,158.04,363.45
Village Council,Sachirambari,1705.56944,South Tripura,Santirbazar,Kakulia,Abhanga,South Hichacherra,2021,22.39,40.46,88.07,35.68,186.6
Village Council,Hakchal,775.5864083,South Tripura,Santirbazar,Kakulia,Srikantabari,Abangchara,2021,30.78,58.25,48.15,60.02,197.2
Gram Panchayet,Madhya Pilak,758.484846,South Tripura,Santirbazar,Kakulia,Abhanga,South Jolaibari,2021,14.59,18.46,49.12,21.7,103.87
Village Council,Mohininagar,795.7699783,South Tripura,Belonia,Hrishyamukh,Motai,Mohini Nagar,2021,64.53,118.74,45.02,141.28,369.57
Gram Panchayet,Joykatpur,733.8153542,South Tripura,Belonia,Hrishyamukh,Motai,Baspadua,2021,7.55,18.61,35.85,4.74,66.75
Village Council,Khorangbaksha,1148.005178,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,2021,36.46,75.24,62.13,48.28,222.11
Village Council,Pohar,1602.859245,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,2021,129.21,206.7,117,258.92,711.83
Gram Panchayet,Kathalia,1385.905107,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,2021,38.57,32.93,50.22,14.08,135.8
Village Council,Ambuchai,592.837673,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,2021,20.79,39.25,37.45,26.63,124.12
Gram Panchayet,Khunati,1442.230133,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,2021,59.83,62.31,66.81,48.42,237.37
Gram Panchayet,Kasta Kumar Para,1104.215347,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,2021,40.33,69.16,73.18,81.24,263.91
Gram Panchayet,Sakyamuni,752.2643786,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,2021,18.03,19.37,31.13,10.3,78.83
Gram Panchayet,Gaburchara,341.1164,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,2021,3.97,6.78,12.45,3.95,27.15
Village Council,Sanghati,893.8763689,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,2021,32.94,53.9,53.32,40.08,180.24
Village Council,Khumthaima,615.0635003,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2021,34.02,55.17,37.01,83.27,209.47
Village Council,Twisawatalok,862.3882078,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2021,36.73,52.74,43.57,73.54,206.58
Village Council,Vaktiram,422.3309061,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,2021,24.77,37.13,25.46,55.74,143.1
Gram Panchayet,Swrangdi,1433.460549,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,2021,26.32,47.29,68.77,24.32,166.7
Village Council,Yakalam,1633.772526,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2021,132.9,200.58,95.25,269.23,697.96
,Raikalam,247.2754547,South Tripura,Santirbazar,Bagafa,Bagafa,,2021,17.27,25.62,16.63,37.75,97.27
Village Council,Laxmicherra,1842.455474,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2021,122.91,179.94,113.86,313.88,730.59
Village Council,Pragati,402.7640408,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,2021,15.93,23.2,20.28,7.41,66.82
Village Council,Rabithakur,658.7441488,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,2021,6.18,13.28,47.16,4.56,71.18
Village Council,Agragati,1325.872819,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,2021,132.36,181.42,78.48,266.38,658.64
Gram Panchayet,Maitry,509.0098114,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,2021,2.42,3.65,30.63,0.87,37.57
Village Council,Twisawaklou,761.3693882,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,2021,10.56,25.82,41.59,12.09,90.06
Village Council,Taj,888.6125067,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2021,18.48,36.64,48.59,16,119.71
Village Council,Twichoma,408.782867,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,2021,12.73,24.48,19.64,14.87,71.72
Village Council,Paribartan,1214.437495,South Tripura,Belonia,Bagafa,Bagafa,Debipur,2021,151.22,174.74,65.89,357.75,749.6
Gram Panchayet,Sanghati,999.1142895,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,2021,9.22,14.44,64.78,5.21,93.65
Gram Panchayet,Banakalayan,560.0907791,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,2021,0.58,1.84,15.7,0.27,18.39
Village Council,Kokbang Motha,438.5493154,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,2021,35.44,46.25,24.53,46.96,153.18
Village Council,Valasa,776.4512867,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2021,17.09,28.94,31.07,12.94,90.04
Gram Panchayet,MBBKM,502.5201688,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2021,0.51,1.13,13.23,0.26,15.13
Village Council,Patichari,1377.006272,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2021,13.84,24.16,63.35,5.08,106.43
Village Council,Kamihumkrai,1231.938588,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,2021,89.46,126.54,72.29,157.23,445.52
Village Council,Takma,1823.70062,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,2021,49.37,82.28,97.14,57.09,285.88
Village Council,Yaprikta,1758.70187,South Tripura,Belonia,Bagafa,Devipur,Debipur,2021,214.49,234.98,97.49,453.41,1000.37
Village Council,Sabujdeep,1349.795973,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,2021,24.9,59.26,107.83,24.01,216
Village Council,Sonapur,477.9518735,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,2021,3.44,7.87,28.81,1.15,41.27
,Janakalyan,488.7472777,Sepahijala,Sonamura,Melaghar,Kalakhet,,2021,1.85,3.93,26.08,0.66,32.52
,Agragami,508.7198745,Sepahijala,Sonamura,Melaghar,Kalakhet,,2021,1.38,2.79,22.22,0.71,27.1
Gram Panchayet,Harichand Humkrai,576.9804869,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,2021,6.43,13.28,46.58,3.85,70.14
Village Council,Chandulkami,1048.454601,Sepahijala,Sonamura,Melaghar,Induria,Chandul,2021,13.61,25.49,80.52,8.68,128.3
Gram Panchayet,Indra Kumar Para,634.3934807,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,2021,3.67,6.51,36.24,1.78,48.2
,Ramapadapara,122.9912136,Sepahijala,Sonamura,Melaghar,Sonamara,,2021,0.94,1.31,13.8,1.27,17.32
Gram Panchayet,Matinagar,1617.829667,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,2021,2.56,18.39,93.29,4.09,118.33
Village Council,Panchnaliya,647.3031119,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,2021,8.4,14.04,65.16,6.4,94
Gram Panchayet,Kamalnagar,627.0917686,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,2021,1.59,8.27,42.19,1.93,53.98
Village Council,Bijoynagar,874.579267,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2021,7.03,15.65,76.37,6.23,105.28
Gram Panchayet,South Kalamchowra,656.8653346,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2021,1.86,6.26,39.59,1.58,49.29
Gram Panchayet,North Kalamchowra,533.9591378,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2021,2.39,4.26,26.7,2.65,36
Village Council,Anandanagar,446.0097448,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2021,2.45,4.98,37.82,3.95,49.2
Gram Panchayet,Ashabari,822.3387545,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,2021,7.01,6.05,50.54,8.17,71.77
Gram Panchayet,Kalshimura,502.2273233,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,2021,1.06,2.19,23.33,1.3,27.88
Village Council,Tarapadabari,244.5039396,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2021,0.91,2.21,12.99,0.26,16.37
Village Council,Goliraibari,810.0305619,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,2021,3.63,9.45,44.54,1.09,58.71
Gram Panchayet,Puttia,262.8312216,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,2021,0.54,0.16,7.57,0.08,8.35
Village Council,Bangshibari,1258.141219,Sepahijala,Jampuijala,Charilam,Charilam,Pathaliaghat,2021,3.07,10.95,63.4,1.4,78.82
Village Council,Nazrul,560.7354266,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2021,1.9,4.61,31.87,0.79,39.17
Village Council,Amarendranagar,604.8368944,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2021,3.75,11.48,39.13,1.6,55.96
Gram Panchayet,Manikyanagar,1294.791553,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,2021,6.6,7.65,77.64,7.6,99.49
Gram Panchayet,Veluarchar,940.9937277,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,2021,1.52,2.9,32.76,4.31,41.49
Village Council,Dingroi,832.489853,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,2021,9.32,25.43,54.85,5.99,95.59
Village Council,Pitra Hatai,1001.214832,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,2021,93.93,120.69,70.06,127.43,412.11
Village Council,Khumpoi Bodal,1311.984338,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,2021,5.79,19.12,107.34,3.75,136
Village Council,Aitorma,297.0864029,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,2021,0.8,2.31,13.6,0.34,17.05
Village Council,Mohanpur,961.9625819,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,2021,2.54,13.08,72.94,1.6,90.16
Village Council,Vasaitipu,349.2609026,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,2021,55.78,48.73,19.51,98.75,222.77
Village Council,Salka,943.5708652,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,2021,5.99,13.68,65.02,2.28,86.97
Village Council,Pravapur,859.7069279,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,2021,1.69,12.45,60.8,1.36,76.3
Village Council,Sindai Bodal,646.6846409,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2021,3.88,13.41,58.7,2.1,78.09
Village Council,Patirai Bodal,698.6805436,Sepahijala,Jampuijala,Jampuijala,Jampuijala,East Takerjala,2021,5.3,17.38,55.14,2.75,80.57
Village Council,Singna Dol,3614.23829,Khowai,Teliamura,Mungiakami,Haludiachara,Nonacherra,2021,588.67,667.9,162.11,1109.33,2528.01
Village Council,Sambhucharan,1056.323424,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2021,4.75,22.94,94.57,1.71,123.97
Village Council,Jhilingma,494.2356409,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2021,1.4,11.01,49.77,0.93,63.11
Village Council,East Belbari,453.2551192,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2021,4.11,21.08,44.1,4.27,73.56
Village Council,GangiaTwisa,808.5594931,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2021,24.24,63.73,66.22,41.23,195.42
Village Council,Zarzui,2625.122041,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2021,313.41,342.33,169.31,534.36,1359.41
Village Council,Thansa Bodol,608.7297654,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2021,7.8,23.91,47.26,6.34,85.31
Village Council,R.C. Para,610.435285,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2021,54.27,93.58,45.23,73.81,266.89
Village Council,Rwngsakha Bodal,1114.040719,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2021,195.85,223.35,44.6,335.67,799.47
Gram Panchayet,Sardukarkari,763.8604331,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2021,83.38,100.92,45.85,126.04,356.19
Village Council,Narangbari,548.9922902,West Tripura,Jirania,Champknagar,Champabari,Champabari,2021,80.12,100.44,34.36,112.04,326.96
Village Council,Bamsree Twisa,988.0470486,West Tripura,Jirania,Champknagar,Belbari,Belbari,2021,5.77,27.71,76.39,5.28,115.15
Village Council,Deven Twisa,257.7500973,West Tripura,Jirania,Champknagar,Champabari,Champabari,2021,36.39,39.3,12.54,47.32,135.55
Gram Panchayet,Hawaibari,453.0709333,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2021,66.47,65.94,29.59,76.92,238.92
Village Council,KC Para,419.685934,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2021,8.66,22.03,25.33,10.98,67
Village Council,Tuidolnai Bodal,1384.314552,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2021,94.17,146.99,83.33,110.41,434.9
Village Council,Emmanualpara,364.6582798,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2021,30.3,57.19,29.06,39.6,156.15
Village Council,Bardwal,455.7130481,West Tripura,Jirania,Champknagar,Champabari,Champabari,2021,52.8,84.18,31.59,78.21,246.78
Gram Panchayet,Raktiacherra,171.4258716,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2021,1.88,4.78,11.06,1.52,19.24
Gram Panchayet,Hamkrai,242.3003235,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2021,3.8,8.83,11.66,3.26,27.55
Village Council,Aitorma Bodal,956.2202273,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2021,132.26,179.63,47.95,234.71,594.55
Village Council,Marthandol,2308.55503,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2021,334.7,418.31,95.4,695.97,1544.38
Village Council,Sinai Kami,600.5737967,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2021,41.78,79.32,45.64,46.92,213.66
Village Council,Hardai,1250.351026,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2021,112.88,144.43,74.91,134.41,466.63
Village Council,Bongshimukha,935.1699561,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2021,144.86,153.03,44.93,246.4,589.22
Village Council,Thaipungbil,852.3689685,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2021,195.11,147.61,23.58,298.04,664.34
Village Council,Khakaham,567.0715825,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,106.04,91.67,18.39,200.39,416.49
Village Council,Dumti Para,752.877888,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2021,50.42,108.32,57.85,78.14,294.73
,Madhya Krishnapur,469.8775625,Khowai,Teliamura,Teliamura,Teliamura,,2021,15.58,19.82,24.94,7.89,68.23
Village Council,Brigudas Bari,694.1745004,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2021,58.41,100.01,51.06,113.41,322.89
Village Council,Kwtal Bodal,710.2921832,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2021,100.87,111.5,36.98,178.94,428.29
Village Council,Chakmaghat,461.2175662,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2021,53.25,58.56,29.28,23.59,164.68
Village Council,Twikalai Kami,112.8057999,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2021,5.68,14.97,10.2,8.06,38.91
Village Council,Bolong Hamkrai Bodal,1163.993651,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2021,106.87,143.79,74.64,106.9,432.2
Village Council,Khatansa Bodal,848.2575129,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,198.42,141.63,16.55,369.08,725.68
Village Council,Sichandi,527.2463433,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2021,28.05,64.25,38.92,41.78,173
,Uttar Krishnapur,405.416345,Khowai,Teliamura,Teliamura,Teliamura,,2021,4.92,9.21,20.27,3.13,37.53
Village Council,Manikung Kami,633.7950245,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2021,31.64,79.68,49.73,74.32,235.37
Village Council,Lokuhamkrai Bodal,548.5815764,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2021,84.18,90.61,23.75,175.1,373.64
Village Council,Jorkaham,663.7408709,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2021,73.99,111.13,42.4,132.08,359.6
Village Council,Yaprikwtal Bodal,353.5711685,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2021,82.4,62.52,9.2,129.52,283.64
Village Council,Salkaham,801.5200181,Khowai,Teliamura,Teliamura,Duski,Duski,2021,27.57,42.88,42.38,34.8,147.63
,Laxmipur,149.0905668,Khowai,Teliamura,Teliamura,Teliamura,,2021,2.55,4.29,7.76,0.87,15.47
Village Council,Burakha Kami,325.6099842,West Tripura,Jirania,Mandwi,Burakha,Borakha,2021,1.86,8.9,33,0.88,44.64
Village Council,Chubanai Bodal,962.668336,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2021,81.85,100.19,69.53,25.05,276.62
Village Council,Shibnagar,658.9389267,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2021,2.52,15.25,58.53,0.96,77.26
Village Council,Salkiyokjak,512.4852855,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,116.06,89.01,16.49,159.06,380.62
Village Council,Khabaksa Bodal,915.5371476,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2021,93.06,120.62,59.53,73.35,346.56
Village Council,Kathiram Bari,548.7281058,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2021,1.97,12.67,57.2,0.81,72.65
Village Council,Hamari Bodal,889.0235857,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2021,92.26,120.52,55.05,147.55,415.38
Village Council,Yeakbaksa Bodal,692.2849676,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,91.71,102.48,27.84,204.52,426.55
Village Council,Yakhrai Bodal,730.4677594,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2021,81.92,117.21,43.52,143.31,385.96
Village Council,Matai Para,345.9617924,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2021,14.83,24.01,19.53,25.33,83.7
Village Council,Hamkrai Bodal,567.2231095,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,126.7,100.44,13.7,200.92,441.76
Village Council,Lamsokjak Bodal,1169.606884,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2021,129.49,156.63,67.12,213.06,566.3
Village Council,Triprabasti,718.4092429,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,149.17,114,15.91,300.21,579.29
Village Council,Twisamungkwrwi,254.1611871,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2021,8.22,17.87,19.95,6.65,52.69
Village Council,Kaithorai,1687.800184,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2021,75.09,160.82,124.82,107.49,468.22
Village Council,Khengra Para,498.0057867,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2021,22.76,64.98,39.03,34.23,161
Village Council,Jamilwng,369.7294727,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2021,16.56,45.97,31.72,29.83,124.08
Village Council,Hamari,368.9524223,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2021,19.22,43.33,29.45,24.09,116.09
Village Council,Twimatai,439.0815859,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2021,17.35,55.18,41.54,30.5,144.57
Village Council,Tiyarimairang,344.7478265,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2021,12.24,19.17,24.69,9.07,65.17
Village Council,Ramdayalbari,956.4929263,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2021,20.73,54.05,59.29,29.65,163.72
Village Council,Jogendra Smriti,556.8319129,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2021,20.42,51.56,42.87,29.76,144.61
Village Council,Jorakwtal,188.021256,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2021,10.08,17.36,15.5,9.66,52.6
Village Council,Athukiri,328.079409,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2021,16.54,44.8,25.3,24.61,111.25
Village Council,Hridoy Choudhury,646.8259949,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2021,7.76,21.17,36.21,6.83,71.97
Village Council,Salka,311.2900524,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2021,10.69,27.83,26.48,10.4,75.4
Village Council,Hataikator,701.992399,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2021,26.02,73.74,64.07,45.5,209.33
Village Council,Ratiranjan,772.1418742,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2021,36.11,65.48,47.83,46.43,195.85
Village Council,Harefkator,377.6431325,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2021,19.53,33.55,29.52,13.78,96.38
Village Council,Kambukcherra,376.3477893,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2021,19.64,48.56,28.37,24.48,121.05
Village Council,Arunjoy,1665.226737,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2021,20.42,56.31,88.7,17.6,183.03
Village Council,South Gayamani,563.5030005,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2021,12.58,27.91,30.22,13.53,84.24
Village Council,Kwswrang,406.2570202,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2021,13.65,35.95,33.52,18.98,102.1
Village Council,North Gayamani,358.9455454,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2021,13.15,28.79,21.28,17.65,80.87
Village Council,Krishna Debbarma,392.6675964,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2021,2.23,7.13,20.78,1.87,32.01
,Bairagi Para,459.1062562,Unakoti,Kumarghat,Machmara,Krishnatilla,,2021,38.4,63.76,38.6,49.5,190.26
Village Council,Umanjoy Para,1324.372315,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2021,133.52,230.95,86.58,214.77,665.82
Village Council,B.C. Para,1039.780901,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2021,51.41,109.68,85.37,54.41,300.87
Village Council,Dhaniram Debbarma,505.0670984,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2021,12.27,26.83,30.74,13.38,83.22
Gram Panchayet,Upendra,1302.626125,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2021,17.39,25.58,73.63,6.4,123
Village Council,Bhupendra Debbarma,921.4659642,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2021,5.47,22.94,46.1,6.22,80.73
Village Council,Samung Kaham Bodal,155.7792157,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2021,3.44,8.82,8.13,2.63,23.02
Village Council,Ganthalwng,121.7226639,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2021,4.02,6.81,10.05,2.13,23.01
Village Council,Pirkha,443.7869472,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2021,17.66,44.86,36.88,20.4,119.8
Village Council,Tentuikhar,330.6425565,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2021,10.62,23.21,28.07,7.66,69.56
Village Council,Thancha,1315.439899,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2021,145.43,157.65,59.78,240.19,603.05
Village Council,Mathura Para,1136.29865,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2021,62.21,70.7,91.87,55.73,280.51
Village Council,Hakwithang,576.5839843,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2021,18.32,42.71,39.18,16.27,116.48
Village Council,Masrai Para,372.2790162,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2021,11.21,22.57,27.74,7.85,69.37
Village Council,Dhananjoy Para,247.5145911,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2021,10.29,9.87,18.06,6.38,44.6
Village Council,Panbagan,1459.950568,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2021,112.57,190.73,113.45,150.58,567.33
Village Council,Dalam Para,376.1284422,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2021,31.92,61.1,29.89,42.2,165.11
Village Council,Khabaksa,939.0123611,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2021,171.37,163.64,30.35,328.92,694.28
Village Council,Sanduk Hamkrai,1057.843128,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2021,7.41,22.32,61.38,4.54,95.65
Village Council,Bolong Swnamnai,757.227566,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2021,90.37,105.1,35.84,152.04,383.35
Village Council,Yapribaksa,1663.53672,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2021,58.73,104.69,87.74,58.63,309.79
Village Council,Salkwtal,349.9848214,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2021,5.03,9.2,25.93,2.45,42.61
Village Council,Dangarai Para,492.3056988,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2021,39.46,50.26,37.01,39.73,166.46
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2021,35.39,40.22,77.13,30.4,183.14
Village Council,G.C. Para,261.1943691,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2021,13.78,23.22,20.75,9.5,67.25
Village Council,Bagabil,596.2403052,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2021,18.52,40.85,46.11,16.35,121.83
Village Council,Lamphunuknai,320.5741899,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2021,14.55,28.3,19.41,9.71,71.97
Village Council,Purba Simna,570.2461875,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2021,14.07,24.29,49.89,7.52,95.77
