GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Village Council,Shibnagar,658.938926737,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,28.67,210.73,269.84,13.9,2021,523.14
Village Council,Salkiyokjak,512.485285471,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,5.92,31.52,60.01,204.65,2021,302.1
Village Council,Khabaksa Bodal,915.537147612,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,36.73,118.51,164.47,335.27,2021,654.98
Village Council,Kathiram Bari,548.728105754,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,32.32,186.85,200.18,17.81,2021,437.16
Village Council,Hamari Bodal,889.023585655,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,20.38,110.31,150.98,276.95,2021,558.62
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,6.06,23.49,68.68,242.26,2021,340.49
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,5.47,39.15,100.33,289.7,2021,434.65
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,29.62,74.69,71.13,81.89,2021,257.33
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,7.72,28.7,57.28,224.18,2021,317.88
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,27.11,108.98,172.16,373.43,2021,681.68
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,5.4,20.44,56.69,259.64,2021,342.17
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2.6,45.29,90.92,54.12,2021,192.93
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,125.16,251.96,409.36,369.06,2021,1155.54
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,1.7,41.08,159.54,116.32,2021,318.64
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2.05,36.22,105.61,67.26,2021,211.14
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,0.91,30.69,118.3,95.9,2021,245.8
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,0.41,42.2,137.45,72.26,2021,252.32
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,17.8,81.38,99.18,57.52,2021,255.88
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,55.99,215.94,287.84,132.34,2021,692.11
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,23.9,126.27,157.39,102.72,2021,410.28
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,3.36,27.11,57.16,49.23,2021,136.86
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,0.84,27.88,101.84,81.12,2021,211.68
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,34.29,138.15,214.02,105.41,2021,491.87
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,3.11,45.71,110.29,62.55,2021,221.66
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,1.12,74.54,216.74,125.3,2021,417.7
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,40.13,167.07,198.01,161.6,2021,566.81
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,4.95,48.51,116.62,105.51,2021,275.59
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,1.78,30.26,112.2,100.41,2021,244.65
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,90.99,422.39,523.95,217.99,2021,1255.32
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,29.94,131.19,167.72,73.44,2021,402.29
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2.86,54.26,140.62,62.83,2021,260.57
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,6.11,55.62,118.17,69.51,2021,249.41
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,26.78,133.23,103.47,28.76,2021,292.24
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,4.49,66.67,122.94,93.78,2021,287.88
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,5.9,126.43,311.31,324.93,2021,768.57
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,12.45,118.35,328.44,218.33,2021,677.57
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,20.03,144.09,154.8,69.71,2021,388.63
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,135.22,417.53,341.86,202.65,2021,1097.26
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,25.1,223.97,401.23,77.92,2021,728.22
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,8.17,39.2,31.74,31.81,2021,110.92
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2.2,26.43,37.7,18.82,2021,85.15
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,1.48,53.4,154.27,95.24,2021,304.39
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2.57,50.13,127.0,60.49,2021,240.19
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,35.95,181.78,204.44,370.08,2021,792.25
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,11.08,139.76,341.01,271.73,2021,763.58
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,10.39,82.96,215.79,119.6,2021,428.74
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2.55,61.71,131.79,72.67,2021,268.72
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,3.16,45.23,90.19,50.52,2021,189.1
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,14.04,178.64,379.96,336.06,2021,908.7
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2.54,44.96,105.27,71.83,2021,224.6
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,4.66,39.79,98.69,332.96,2021,476.1
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,60.4,342.39,373.25,79.84,2021,855.88
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,22.4,107.26,112.54,221.4,2021,463.6
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,77.56,376.04,330.75,424.6,2021,1208.95
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,12.2,87.61,134.61,35.6,2021,270.02
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,6.06,70.15,133.04,128.51,2021,337.76
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,89.54,219.53,267.38,222.84,2021,799.29
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,0.68,25.41,94.38,73.43,2021,193.9
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,6.0,99.04,207.32,121.41,2021,433.77
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,9.87,54.01,71.05,107.14,2021,242.07
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,8.52,99.77,230.27,92.82,2021,431.38
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,6.2,69.38,207.74,143.93,2021,427.25
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,18.24,74.97,122.24,136.12,2021,351.57
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,7.55,48.92,45.24,86.67,2021,188.38
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,0.76,43.28,189.53,310.66,2021,544.23
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,117.77,188.27,167.19,126.64,2021,599.87
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,6.08,67.46,163.47,168.95,2021,405.96
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,50.49,205.58,232.16,240.39,2021,728.62
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,11.66,69.66,68.71,59.11,2021,209.14
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,20.63,191.72,376.67,358.11,2021,947.13
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,36.36,176.85,192.19,182.26,2021,587.66
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,48.45,215.71,306.07,270.58,2021,840.81
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,30.46,183.29,218.21,180.16,2021,612.12
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,24.47,109.48,154.59,122.33,2021,410.87
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,4.84,52.7,114.23,86.15,2021,257.92
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,51.74,195.39,186.61,88.25,2021,521.99
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,178.33,696.52,472.99,153.61,2021,1501.45
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,0.85,12.93,52.96,57.08,2021,123.82
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,7.06,38.73,73.95,86.62,2021,206.36
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,30.34,79.54,94.56,73.64,2021,278.08
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,28.99,163.42,186.93,148.58,2021,527.92
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,22.97,113.28,155.5,104.33,2021,396.08
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,7.47,57.09,124.38,99.87,2021,288.81
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,19.62,105.81,116.35,85.94,2021,327.72
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,97.52,238.21,126.68,86.46,2021,548.87
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,9.79,96.38,222.16,173.26,2021,501.59
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,32.57,71.85,147.88,131.85,2021,384.15
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,64.18,303.49,395.06,211.46,2021,974.19
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,14.31,110.77,259.05,295.1,2021,679.23
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,3.46,38.77,74.63,80.16,2021,197.02
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,4.96,72.32,138.16,132.91,2021,348.35
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,22.24,133.49,162.15,88.53,2021,406.41
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,17.12,80.21,83.07,30.08,2021,210.48
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,44.98,260.81,203.87,66.45,2021,576.11
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,7.2,52.0,105.65,139.2,2021,304.05
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,41.18,253.96,431.8,218.42,2021,945.36
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,6.98,68.96,136.83,149.86,2021,362.63
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,20.63,154.37,250.83,191.78,2021,617.61
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,121.09,304.62,179.88,58.16,2021,663.75
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,8.13,64.18,147.45,217.27,2021,437.03
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,115.31,198.68,201.32,178.94,2021,694.25
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,33.47,111.72,93.42,36.73,2021,275.34
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,11.6,67.99,148.51,184.46,2021,412.56
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,59.9,171.93,116.99,57.8,2021,406.62
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,73.98,207.89,137.25,63.75,2021,482.87
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,12.21,60.58,124.66,92.41,2021,289.86
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,12.22,124.61,225.24,229.23,2021,591.3
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,4.04,51.79,133.29,123.81,2021,312.93
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,4.37,89.49,262.01,271.42,2021,627.29
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,15.58,48.89,72.19,62.95,2021,199.61
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,1.35,32.56,102.8,131.88,2021,268.59
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,11.69,37.38,51.84,130.03,2021,230.94
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,4.97,51.02,100.23,121.03,2021,277.25
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,6.52,35.98,99.34,145.55,2021,287.39
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,9.82,52.23,108.75,123.89,2021,294.69
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,49.75,156.96,114.75,127.99,2021,449.45
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,13.7,86.33,161.29,143.43,2021,404.75
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,107.48,175.0,169.26,199.3,2021,651.04
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,16.93,119.89,283.31,274.68,2021,694.81
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,91.33,178.35,104.0,50.98,2021,424.66
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,53.88,122.0,77.29,97.27,2021,350.44
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,52.46,116.82,133.24,24.53,2021,327.05
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,32.13,130.8,171.96,134.15,2021,469.04
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2.77,44.08,167.42,262.93,2021,477.2
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,31.31,96.76,101.08,78.77,2021,307.92
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,1.97,20.5,61.76,106.93,2021,191.16
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,3.73,56.15,158.38,235.93,2021,454.19
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,26.3,140.5,212.02,203.81,2021,582.63
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,3.22,58.49,164.26,216.58,2021,442.55
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2.68,49.14,147.38,191.17,2021,390.37
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,3.51,13.18,43.38,103.93,2021,164.0
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,94.62,248.73,222.08,155.44,2021,720.87
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,57.74,123.53,110.27,88.13,2021,379.67
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,11.64,61.63,99.75,148.42,2021,321.44
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,85.57,229.95,123.86,34.36,2021,473.74
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,4.2,45.93,89.7,89.03,2021,228.86
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,74.26,164.04,87.1,28.37,2021,353.77
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,52.57,181.55,139.5,81.61,2021,455.23
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,46.76,287.06,270.11,198.99,2021,802.92
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,18.12,120.21,102.5,40.56,2021,281.39
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,53.47,295.09,241.26,96.03,2021,685.85
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,6.36,82.88,150.81,142.19,2021,382.24
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,45.52,182.36,194.48,175.63,2021,597.99
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,53.91,214.02,195.15,82.33,2021,545.41
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,19.73,130.18,154.23,108.9,2021,413.04
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,8.61,93.55,184.94,305.22,2021,592.32
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,4.97,98.44,276.96,439.06,2021,819.43
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,10.5,57.13,78.02,71.51,2021,217.16
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,58.87,273.82,268.25,167.58,2021,768.52
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,14.3,95.43,143.0,198.65,2021,451.38
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,8.72,41.16,42.71,64.1,2021,156.69
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,18.45,49.69,91.85,120.09,2021,280.08
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,30.17,123.96,149.44,145.42,2021,448.99
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,35.02,144.99,144.58,124.03,2021,448.62
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,11.84,74.48,99.1,84.03,2021,269.45
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,13.26,133.08,173.85,185.63,2021,505.82
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,75.71,189.31,172.54,82.4,2021,519.96
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,98.63,215.91,203.05,194.31,2021,711.9
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,16.59,74.84,73.05,35.12,2021,199.6
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,15.93,113.74,151.7,146.22,2021,427.59
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,29.24,139.31,145.19,102.19,2021,415.93
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,69.77,217.06,198.78,187.37,2021,672.98
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,16.99,94.93,170.08,177.43,2021,459.43
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,53.5,168.38,99.68,32.24,2021,353.8
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,22.39,63.33,110.32,154.51,2021,350.55
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,25.72,151.87,183.25,246.61,2021,607.45
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,12.02,63.62,70.04,60.56,2021,206.24
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,1.21,41.75,81.15,67.51,2021,191.62
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,114.94,234.09,133.11,61.3,2021,543.44
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,34.29,239.82,287.69,371.51,2021,933.31
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,11.59,137.9,314.34,527.45,2021,991.28
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,35.23,64.01,30.59,29.04,2021,158.87
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,35.7,129.53,172.05,219.6,2021,556.88
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,173.18,507.53,371.86,259.14,2021,1311.71
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,40.54,96.47,99.47,86.65,2021,323.13
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,82.36,192.05,162.65,135.24,2021,572.3
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,51.79,207.37,175.14,120.4,2021,554.7
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,60.75,244.7,420.28,755.03,2021,1480.76
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,43.98,166.42,188.4,200.64,2021,599.44
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,30.66,194.48,175.13,125.19,2021,525.46
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,31.91,80.83,87.81,128.61,2021,329.16
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,51.81,501.17,766.85,557.62,2021,1877.45
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,146.02,212.53,188.61,180.97,2021,728.13
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,53.67,263.12,305.5,219.83,2021,842.12
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,10.85,81.45,100.06,78.09,2021,270.45
