GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,125.12,181.29,103.65,140.79,2020,550.85
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,92.27,198.98,132.5,139.49,2020,563.24
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,78.62,363.49,464.71,734.75,2020,1641.57
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,45.25,271.28,109.02,128.29,2020,553.84
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,50.49,210.06,140.48,110.27,2020,511.3
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,38.44,243.41,67.2,5.83,2020,354.88
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,66.61,367.57,613.14,717.88,2020,1765.2
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,252.64,437.76,89.85,27.69,2020,807.94
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,106.18,271.81,209.74,180.05,2020,767.78
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,28.72,98.38,79.7,61.22,2020,268.02
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,59.94,570.34,781.13,491.3,2020,1902.71
Gram Panchayet,Newlife,404.453588489,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,19.25,94.42,95.31,44.32,2020,253.3
Village Council,Tuichakma,1369.39587677,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,90.58,245.74,237.29,195.81,2020,769.42
Village Council,Sangranma EDC,564.976198781,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,27.78,137.05,140.97,84.35,2020,390.15
Village Council,Beledi EDC,1637.86754538,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,189.97,623.83,241.97,228.87,2020,1284.64
Village Council,Kamalai,446.579247994,Gomati,Amarpur,Ampi,Chechua,Lalgiri,19.49,143.01,87.71,23.77,2020,273.98
Village Council,Bankarai Para,1537.91756356,Gomati,Amarpur,Amarpur,Bampur,Gungia,35.88,248.78,354.87,392.96,2020,1032.49
Village Council,Sukmohan JFMC (e Beat),1533.31558346,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,67.25,537.39,418.89,84.36,2020,1107.89
