GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,0.0,101.18,113.65,24.45,216.3,2.47,81.16,61.27,28.03,43.54,10.17,2.79,3.46,3.52,691.99
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2020,0.0,129.84,121.74,24.81,208.84,7.58,77.17,62.97,29.66,34.07,13.84,10.04,5.48,4.42,730.46
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2020,0.0,25.99,29.46,16.09,35.6,24.24,22.35,23.65,25.64,29.87,33.99,40.05,19.88,19.06,345.87
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,0.0,142.98,100.59,28.46,95.01,8.22,15.3,41.76,20.16,46.56,34.89,6.51,13.11,13.72,567.27
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2020,0.0,161.7,140.28,82.71,126.92,34.1,84.83,109.43,100.05,105.71,89.77,54.51,34.78,44.86,1169.65
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,0.0,150.35,148.72,24.89,208.06,2.68,44.08,55.94,24.05,38.68,9.79,2.27,5.33,3.53,718.37
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2020,0.0,18.67,24.68,13.27,24.05,12.39,51.72,30.76,27.45,25.78,9.79,6.48,6.16,2.84,254.04
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2020,0.0,167.81,167.65,105.1,230.58,88.75,239.74,132.07,102.37,112.95,88.8,145.84,56.21,49.86,1687.73
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,0.0,44.06,60.97,35.25,76.05,11.53,125.76,57.14,37.92,33.66,5.8,3.78,4.79,1.39,498.1
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,0.0,37.35,36.21,37.51,52.05,6.93,99.87,37.09,27.14,23.06,4.34,2.52,4.02,1.56,369.65
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2020,0.0,36.45,45.19,25.54,55.11,5.34,84.14,45.48,31.15,25.75,5.37,2.28,2.27,4.85,368.92
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,0.0,44.02,38.46,51.99,59.77,3.43,131.65,45.13,35.34,22.77,3.14,1.06,1.26,1.15,439.17
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2020,0.0,21.05,28.63,17.61,25.49,32.45,45.19,29.34,33.41,28.58,16.5,39.17,20.68,6.57,344.67
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2020,0.0,42.95,51.16,65.91,51.89,67.06,140.57,84.66,131.23,98.56,73.57,80.88,38.62,29.3,956.36
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2020,0.0,41.86,48.0,37.13,58.1,22.25,82.5,45.4,50.19,46.56,39.52,52.82,15.39,17.17,556.89
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2020,0.0,17.46,21.53,10.21,24.03,9.56,25.73,19.96,20.86,16.53,7.04,5.15,6.27,3.8,188.13
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2020,0.0,33.97,44.28,22.69,51.07,2.3,72.69,37.61,34.93,18.26,4.04,1.31,2.16,2.64,327.95
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2020,0.0,17.15,20.99,33.93,17.25,39.26,95.74,86.14,124.83,81.62,49.48,37.57,27.77,15.21,646.94
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2020,0.0,20.05,30.11,20.34,26.61,18.87,65.54,36.47,40.24,27.14,7.93,6.69,8.15,3.2,311.34
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2020,0.0,53.85,61.09,72.8,81.77,5.5,211.6,80.89,77.42,43.75,7.06,1.84,2.3,2.21,702.08
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2020,0.0,55.87,62.31,38.05,67.04,46.94,67.98,50.36,90.22,67.03,66.16,89.89,36.47,33.8,772.12
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2020,0.0,33.98,40.05,20.13,32.12,18.42,48.99,45.21,56.0,33.69,15.52,12.44,14.02,7.1,377.67
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2020,0.0,41.59,45.97,24.1,57.83,1.81,93.71,45.71,38.18,17.56,4.65,1.25,1.97,2.0,376.33
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2020,0.0,35.47,47.69,92.55,27.44,129.74,183.67,137.99,294.93,184.75,169.64,204.34,96.54,60.31,1665.06
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2020,0.0,18.93,25.54,29.82,24.59,44.75,65.25,38.3,116.62,56.27,39.57,61.58,31.13,11.19,563.54
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2020,0.0,26.76,36.97,36.58,40.24,3.36,122.09,45.5,57.86,25.97,6.24,1.65,1.81,1.15,406.18
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2020,0.0,18.61,25.51,20.3,24.15,33.86,42.79,27.13,82.86,34.57,15.12,19.01,9.61,5.62,359.14
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2020,0.0,3.33,6.96,17.96,2.7,42.7,23.02,18.54,70.7,34.41,47.17,80.21,33.68,11.39,392.77
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,2020,0.0,42.55,69.3,33.73,54.29,28.04,75.71,43.69,18.22,73.5,6.39,5.47,5.37,2.63,458.89
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2020,0.0,140.5,215.03,89.43,202.89,48.01,247.25,138.11,45.45,164.02,10.69,9.86,9.35,3.96,1324.55
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2020,0.0,88.5,116.17,75.53,111.34,46.17,206.41,111.22,116.81,80.85,24.88,14.32,22.57,25.14,1039.91
