GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Nazrul,560.735426556,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2021,0.0,1.9,4.61,31.87,0.79,60.14,11.22,11.6,138.29,32.66,83.67,63.8,68.41,51.91,560.87
Village Council,Amarendranagar,604.836894405,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2021,0.0,3.75,11.48,39.13,1.6,39.01,31.85,22.16,189.58,46.3,67.34,38.19,75.49,38.83,604.71
Gram Panchayet,Manikyanagar,1294.79155294,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,2021,0.0,6.6,7.65,77.64,7.6,224.38,22.47,33.31,67.91,68.34,130.54,152.63,416.92,78.79,1294.78
Gram Panchayet,Veluarchar,940.993727651,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,2021,0.0,1.52,2.9,32.76,4.31,228.31,8.1,16.7,26.84,26.61,100.75,139.88,288.97,63.52,941.17
Village Council,Dingroi,832.489852984,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,2021,0.0,9.32,25.43,54.85,5.99,67.97,59.46,41.27,217.84,73.06,86.67,53.24,95.42,41.95,832.47
Village Council,Pitra Hatai,1001.2148316,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,2021,0.0,93.93,120.69,70.06,127.43,30.92,137.59,87.56,92.11,98.25,51.57,28.35,30.44,32.2,1001.1
Village Council,Khumpoi Bodal,1311.98433764,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,2021,0.0,5.79,19.12,107.34,3.75,113.65,22.0,50.39,184.98,111.67,251.92,172.73,192.95,75.67,1311.96
Village Council,Aitorma,297.086402879,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,2021,0.0,0.8,2.31,13.6,0.34,79.75,2.51,5.14,19.25,10.51,36.42,55.55,55.18,15.7,297.06
Village Council,Mohanpur,961.962581945,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,2021,0.0,2.54,13.08,72.94,1.6,104.98,19.28,36.18,161.45,71.2,119.58,128.82,190.25,39.88,961.78
Village Council,Vasaitipu,349.260902593,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,2021,0.0,55.78,48.73,19.51,98.75,3.35,51.94,25.92,16.37,17.02,5.03,1.65,2.45,2.9,349.4
Village Council,Salka,943.570865159,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,2021,0.0,5.99,13.68,65.02,2.28,110.88,22.45,28.39,182.6,68.1,119.79,108.01,161.0,55.4,943.59
Village Council,Pravapur,859.706927865,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,2021,0.0,1.69,12.45,60.8,1.36,137.25,25.27,25.72,188.28,57.95,54.53,110.62,166.41,17.61,859.94
Village Council,Sindai Bodal,646.684640911,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2021,0.0,3.88,13.41,58.7,2.1,94.32,20.09,27.59,104.06,68.18,70.16,72.37,98.46,13.36,646.68
Village Council,Patirai Bodal,698.680543556,Sepahijala,Jampuijala,Jampuijala,Jampuijala,East Takerjala,2021,0.0,5.3,17.38,55.14,2.75,54.49,33.26,23.31,199.77,83.95,64.24,60.12,79.64,19.4,698.75
Village Council,Singna Dol,3614.2382895,Khowai,Teliamura,Mungiakami,Haludiachara,Nonacherra,2021,0.0,588.67,667.9,162.11,1109.33,36.05,484.27,195.87,74.84,223.16,31.65,11.83,13.09,14.95,3613.72
Village Council,Sambhucharan,1056.32342408,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2021,0.0,4.75,22.94,94.57,1.71,93.67,54.46,38.28,335.05,117.25,68.27,78.13,124.19,23.11,1056.38
Village Council,Jhilingma,494.23564085,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2021,0.0,1.4,11.01,49.77,0.93,31.44,29.95,20.57,167.23,63.7,31.87,27.66,48.87,9.8,494.2
Village Council,East Belbari,453.255119188,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2021,0.0,4.11,21.08,44.1,4.27,37.19,48.44,22.32,70.62,94.09,30.45,46.91,21.56,8.2,453.34
Village Council,GangiaTwisa,808.559493131,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2021,0.0,24.24,63.73,66.22,41.23,57.7,101.65,53.51,95.48,143.71,54.91,52.08,37.1,16.8,808.36
Village Council,Zarzui,2625.12204138,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2021,0.0,313.41,342.33,169.31,534.36,88.99,367.42,198.52,164.77,195.64,88.08,62.66,59.59,40.18,2625.26
Village Council,Thansa Bodol,608.729765367,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2021,0.0,7.8,23.91,47.26,6.34,69.28,44.83,29.84,81.34,86.83,58.94,64.2,69.29,18.75,608.61
Village Council,R.C. Para,610.43528501,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2021,0.0,54.27,93.58,45.23,73.81,18.19,53.78,59.74,56.21,70.03,33.43,19.19,19.48,13.51,610.45
Village Council,Rwngsakha Bodal,1114.04071886,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2021,0.0,195.85,223.35,44.6,335.67,18.89,92.93,52.17,21.76,77.06,20.95,11.63,10.19,9.42,1114.47
Gram Panchayet,Sardukarkari,763.860433134,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2021,0.0,83.38,100.92,45.85,126.04,12.98,105.48,63.84,76.22,57.05,36.78,12.66,16.66,25.74,763.6
Village Council,Narangbari,548.992290196,West Tripura,Jirania,Champknagar,Champabari,Champabari,2021,0.0,80.12,100.44,34.36,112.04,2.39,53.77,51.96,38.87,42.04,16.95,2.53,3.87,9.6,548.94
Village Council,Bamsree Twisa,988.047048601,West Tripura,Jirania,Champknagar,Belbari,Belbari,2021,0.0,5.77,27.71,76.39,5.28,150.93,51.79,40.05,192.32,125.59,76.08,114.05,103.43,18.88,988.27
Village Council,Deven Twisa,257.750097342,West Tripura,Jirania,Champknagar,Champabari,Champabari,2021,0.0,36.39,39.3,12.54,47.32,4.19,27.75,22.38,19.87,19.38,11.43,4.83,8.36,3.88,257.62
Gram Panchayet,Hawaibari,453.070933285,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2021,0.0,66.47,65.94,29.59,76.92,3.75,53.82,38.53,34.56,33.21,21.93,6.61,6.79,15.13,453.25
Village Council,KC Para,419.685934029,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2021,0.0,8.66,22.03,25.33,10.98,51.91,29.21,19.23,37.2,45.98,52.98,57.62,38.61,19.86,419.6
Village Council,Tuidolnai Bodal,1384.31455174,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2021,0.0,94.17,146.99,83.33,110.41,92.98,141.21,92.27,104.95,162.38,132.56,89.53,77.14,56.5,1384.42
Village Council,Emmanualpara,364.658279758,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2021,0.0,30.3,57.19,29.06,39.6,10.53,30.86,35.45,35.17,44.8,22.17,8.32,9.33,12.0,364.78
Village Council,Bardwal,455.713048109,West Tripura,Jirania,Champknagar,Champabari,Champabari,2021,0.0,52.8,84.18,31.59,78.21,3.9,39.03,44.02,31.03,46.01,21.91,4.88,6.83,11.36,455.75
Gram Panchayet,Raktiacherra,171.425871573,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2021,0.0,1.88,4.78,11.06,1.52,24.68,9.46,5.5,16.35,19.7,25.61,17.83,23.75,9.15,171.27
Gram Panchayet,Hamkrai,242.300323507,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2021,0.0,3.8,8.83,11.66,3.26,38.73,10.2,8.34,19.25,17.59,35.49,29.91,34.25,20.94,242.25
Village Council,Aitorma Bodal,956.22022725,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2021,0.0,132.26,179.63,47.95,234.71,21.03,104.18,55.19,28.35,79.81,28.15,15.13,16.22,13.7,956.31
Village Council,Marthandol,2308.55502976,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2021,0.0,334.7,418.31,95.4,695.97,25.29,290.85,137.89,53.02,155.95,37.89,15.25,19.46,28.64,2308.62
Village Council,Sinai Kami,600.573796704,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2021,0.0,41.78,79.32,45.64,46.92,20.99,42.8,49.91,62.93,68.12,61.55,23.25,31.81,25.44,600.46
Village Council,Hardai,1250.35102569,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2021,0.0,112.88,144.43,74.91,134.41,55.52,97.34,88.57,108.72,111.89,125.87,67.2,60.87,67.8,1250.41
Village Council,Bongshimukha,935.169956114,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2021,0.0,144.86,153.03,44.93,246.4,11.56,100.44,56.81,34.61,62.54,23.56,7.39,8.76,40.34,935.23
Village Council,Thaipungbil,852.368968536,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2021,0.0,195.11,147.61,23.58,298.04,4.66,52.7,32.24,15.16,31.95,11.58,4.2,3.8,31.8,852.43
Village Council,Khakaham,567.071582479,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,0.0,106.04,91.67,18.39,200.39,6.35,53.9,27.03,13.28,27.95,8.1,2.36,2.67,8.94,567.07
Village Council,Dumti Para,752.877887977,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2021,0.0,50.42,108.32,57.85,78.14,12.43,96.65,74.18,92.58,88.3,44.08,14.06,15.57,20.39,752.97
,Madhya Krishnapur,469.877562477,Khowai,Teliamura,Teliamura,Teliamura,,2021,0.0,15.58,19.82,24.94,7.89,56.25,27.8,15.96,29.69,53.62,73.27,63.29,49.79,32.0,469.9
Village Council,Brigudas Bari,694.174500358,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2021,0.0,58.41,100.01,51.06,113.41,5.49,143.96,64.1,64.88,60.24,16.2,4.1,4.72,7.6,694.18
Village Council,Kwtal Bodal,710.292183199,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2021,0.0,100.87,111.5,36.98,178.94,7.99,87.13,46.75,28.67,61.15,20.43,5.98,6.76,17.13,710.28
Village Council,Chakmaghat,461.217566213,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2021,0.0,53.25,58.56,29.28,23.59,16.87,48.43,28.67,27.78,44.34,44.06,21.12,33.67,31.52,461.14
Village Council,Twikalai Kami,112.805799861,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2021,0.0,5.68,14.97,10.2,8.06,1.99,21.04,9.94,15.23,15.79,4.62,1.11,1.16,2.98,112.77
Village Council,Bolong Hamkrai Bodal,1163.99365071,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2021,0.0,106.87,143.79,74.64,106.9,28.78,95.54,72.09,71.7,117.75,128.85,58.17,65.89,92.98,1163.95
Village Council,Khatansa Bodal,848.257512931,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,0.0,198.42,141.63,16.55,369.08,3.67,43.77,25.75,15.4,23.14,5.71,1.69,1.91,1.64,848.36
Village Council,Sichandi,527.246343272,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2021,0.0,28.05,64.25,38.92,41.78,18.7,46.75,54.08,72.55,67.12,39.11,18.58,24.13,13.27,527.29
,Uttar Krishnapur,405.416344962,Khowai,Teliamura,Teliamura,Teliamura,,2021,0.0,4.92,9.21,20.27,3.13,49.43,12.98,10.44,40.67,50.55,98.74,44.83,40.5,19.65,405.32
Village Council,Manikung Kami,633.795024468,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2021,0.0,31.64,79.68,49.73,74.32,7.67,128.46,63.22,80.35,83.18,18.74,4.63,5.33,6.93,633.88
Village Council,Lokuhamkrai Bodal,548.581576403,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2021,0.0,84.18,90.61,23.75,175.1,4.1,66.19,32.71,22.42,32.5,8.06,1.68,2.88,4.45,548.63
Village Council,Jorkaham,663.740870941,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2021,0.0,73.99,111.13,42.4,132.08,7.19,73.3,64.08,50.54,62.63,20.5,4.77,7.81,13.21,663.63
Village Council,Yaprikwtal Bodal,353.571168541,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2021,0.0,82.4,62.52,9.2,129.52,1.81,15.84,13.65,8.24,14.41,7.95,1.73,3.11,3.24,353.62
Village Council,Salkaham,801.520018077,Khowai,Teliamura,Teliamura,Duski,Duski,2021,0.0,27.57,42.88,42.38,34.8,95.3,28.0,31.3,50.55,64.38,125.79,128.8,68.47,61.29,801.51
,Laxmipur,149.090566825,Khowai,Teliamura,Teliamura,Teliamura,,2021,0.0,2.55,4.29,7.76,0.87,16.58,4.99,4.25,14.51,18.29,32.21,15.39,19.5,7.89,149.08
Village Council,Burakha Kami,325.60998416,West Tripura,Jirania,Mandwi,Burakha,Borakha,2021,0.0,1.86,8.9,33.0,0.88,51.17,13.8,10.13,64.18,49.4,20.92,33.62,34.3,3.48,325.64
Village Council,Chubanai Bodal,962.668335966,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2021,0.0,81.85,100.19,69.53,25.05,42.88,94.74,58.57,110.53,175.29,122.97,32.37,26.64,22.11,962.72
Village Council,Shibnagar,658.938926737,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2021,0.0,2.52,15.25,58.53,0.96,82.03,31.79,20.95,211.32,85.21,35.53,43.76,65.25,5.75,658.85
Village Council,Salkiyokjak,512.485285471,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,0.0,116.06,89.01,16.49,159.06,6.14,23.92,21.27,12.89,28.24,15.84,3.48,8.91,11.18,512.49
Village Council,Khabaksa Bodal,915.537147612,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2021,0.0,93.06,120.62,59.53,73.35,29.44,99.64,57.76,70.67,95.5,86.56,30.99,52.03,46.37,915.52
Village Council,Kathiram Bari,548.728105754,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2021,0.0,1.97,12.67,57.2,0.81,73.14,17.46,20.17,124.54,59.77,43.34,51.31,80.31,6.04,548.73
Village Council,Hamari Bodal,889.023585655,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2021,0.0,92.26,120.52,55.05,147.55,23.25,102.59,56.96,46.42,90.05,64.19,25.11,31.71,33.42,889.08
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,0.0,91.71,102.48,27.84,204.52,8.58,96.65,41.71,31.15,45.19,20.11,4.54,7.85,9.66,691.99
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2021,0.0,81.92,117.21,43.52,143.31,14.0,71.2,67.32,52.84,69.85,31.46,12.35,12.82,12.66,730.46
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2021,0.0,14.83,24.01,19.53,25.33,32.62,13.54,17.01,27.55,34.57,49.82,38.14,25.61,23.31,345.87
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,0.0,126.7,100.44,13.7,200.92,6.63,22.17,19.68,10.66,27.61,13.31,4.16,11.0,10.29,567.27
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2021,0.0,129.49,156.63,67.12,213.06,40.8,158.61,75.5,59.3,98.49,71.5,34.84,30.03,34.28,1169.65
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2021,0.0,149.17,114.0,15.91,300.21,7.4,41.04,27.71,16.43,23.51,9.09,2.55,8.06,3.29,718.37
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2021,0.0,8.22,17.87,19.95,6.65,12.86,19.55,22.01,48.6,40.98,27.78,9.86,12.27,7.44,254.04
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2021,0.0,75.09,160.82,124.82,107.49,131.5,185.56,106.93,171.66,196.42,163.77,115.73,69.86,78.08,1687.73
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2021,0.0,22.76,64.98,39.03,34.23,12.79,78.52,53.84,78.04,67.76,23.31,6.06,11.08,5.7,498.1
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2021,0.0,16.56,45.97,31.72,29.83,11.62,84.69,32.44,48.2,41.8,11.91,3.52,7.38,4.01,369.65
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2021,0.0,19.22,43.33,29.45,24.09,7.88,48.49,42.7,66.45,49.47,19.31,4.68,6.88,6.97,368.92
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2021,0.0,17.35,55.18,41.54,30.5,6.93,113.48,35.84,63.47,52.46,11.67,2.53,3.59,4.63,439.17
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2021,0.0,12.24,19.17,24.69,9.07,35.83,16.68,27.22,48.35,42.76,31.42,36.4,31.97,8.87,344.67
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2021,0.0,20.73,54.05,59.29,29.65,88.68,99.36,46.61,157.03,129.39,107.16,74.37,50.7,39.34,956.36
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2021,0.0,20.42,51.56,42.87,29.76,28.53,54.95,33.35,66.63,68.66,56.36,54.3,26.06,23.44,556.89
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2021,0.0,10.08,17.36,15.5,9.66,8.63,12.77,20.2,25.78,27.7,18.31,6.36,10.37,5.41,188.13
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2021,0.0,16.54,44.8,25.3,24.61,6.2,50.15,35.38,52.97,41.41,15.76,3.2,5.55,6.08,327.95
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2021,0.0,7.76,21.17,36.21,6.83,60.07,53.71,34.46,134.45,118.05,83.34,44.04,31.96,14.89,646.94
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2021,0.0,10.69,27.83,26.48,10.4,15.1,34.09,30.1,57.28,46.68,21.12,10.43,16.14,5.0,311.34
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2021,0.0,26.02,73.74,64.07,45.5,11.0,169.68,58.25,120.7,89.86,21.99,6.26,9.14,5.87,702.08
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2021,0.0,36.11,65.48,47.83,46.43,70.36,46.84,41.57,90.92,85.63,90.34,64.28,44.43,41.9,772.12
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2021,0.0,19.53,33.55,29.52,13.78,18.42,25.87,43.95,64.46,48.73,36.5,13.46,20.44,9.46,377.67
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2021,0.0,19.64,48.56,28.37,24.48,5.22,58.96,42.98,65.13,49.66,15.9,4.03,8.27,5.13,376.33
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2021,0.0,20.42,56.31,88.7,17.6,191.96,128.7,71.37,295.84,231.75,226.34,153.13,116.42,66.52,1665.06
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2021,0.0,12.58,27.91,30.22,13.53,79.17,42.65,25.84,119.89,66.51,50.13,38.35,43.53,13.23,563.54
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2021,0.0,13.65,35.95,33.52,18.98,10.69,82.56,33.37,85.2,59.94,14.13,5.49,8.52,4.18,406.18
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2021,0.0,13.15,28.79,21.28,17.65,34.39,33.69,24.05,78.85,45.41,25.06,15.26,13.64,7.92,359.14
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2021,0.0,2.23,7.13,20.78,1.87,70.73,16.59,11.29,54.8,39.46,53.49,59.55,40.55,14.3,392.77
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,2021,0.0,38.4,63.76,38.6,49.5,28.01,53.5,40.01,28.18,78.51,15.46,6.62,12.8,5.54,458.89
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2021,0.0,133.52,230.95,86.58,214.77,47.87,166.62,126.79,69.46,175.07,29.87,12.5,19.52,11.03,1324.55
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2021,0.0,51.41,109.68,85.37,54.41,51.85,140.57,110.15,156.71,142.84,54.21,20.07,32.97,29.67,1039.91
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2021,0.0,12.27,26.83,30.74,13.38,49.61,28.97,24.41,83.52,57.66,58.23,66.83,33.9,18.67,505.02
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2021,0.0,17.39,25.58,73.63,6.4,120.64,42.36,34.06,140.47,141.06,280.4,209.15,120.43,91.04,1302.61
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2021,0.0,5.47,22.94,46.1,6.22,60.69,87.6,38.8,277.86,137.28,102.13,60.82,54.34,21.33,921.58
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2021,0.0,3.44,8.82,8.13,2.63,21.14,13.68,7.35,23.8,16.58,16.66,10.49,18.2,4.8,155.72
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2021,0.0,4.02,6.81,10.05,2.13,13.55,10.15,10.5,19.86,16.47,10.3,4.76,9.36,3.6,121.56
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2021,0.0,17.66,44.86,36.88,20.4,13.45,62.06,43.51,92.05,59.62,26.09,8.09,11.91,7.14,443.72
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2021,0.0,10.62,23.21,28.07,7.66,13.95,36.82,32.03,82.03,49.99,23.09,6.32,12.09,4.79,330.67
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2021,0.0,145.43,157.65,59.78,240.19,59.85,151.36,71.74,77.27,106.94,97.24,60.17,47.37,40.58,1315.57
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2021,0.0,62.21,70.7,91.87,55.73,61.32,117.12,138.78,184.88,181.71,79.49,25.4,40.18,27.14,1136.53
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2021,0.0,18.32,42.71,39.18,16.27,36.91,48.96,45.76,139.06,79.69,49.72,19.13,26.52,14.48,576.71
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2021,0.0,11.21,22.57,27.74,7.85,16.12,47.13,32.47,95.83,55.32,26.81,10.18,12.49,6.59,372.31
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2021,0.0,10.29,9.87,18.06,6.38,9.77,15.71,26.59,60.95,37.71,28.51,8.19,10.87,4.64,247.54
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2021,0.0,112.57,190.73,113.45,150.58,64.93,189.69,145.44,133.62,213.63,64.18,18.91,29.82,32.42,1459.97
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2021,0.0,31.92,61.1,29.89,42.2,14.61,60.28,34.5,20.05,60.42,8.67,4.09,5.08,3.3,376.11
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2021,0.0,171.37,163.64,30.35,328.92,10.37,81.02,42.39,23.69,37.45,19.59,10.18,8.68,11.15,938.8
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2021,0.0,7.41,22.32,61.38,4.54,122.47,42.82,32.51,254.84,112.23,158.9,104.75,91.28,42.68,1058.13
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2021,0.0,90.37,105.1,35.84,152.04,22.18,80.31,38.93,28.57,51.43,54.49,51.12,20.47,26.41,757.26
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2021,0.0,58.73,104.69,87.74,58.63,102.19,195.67,97.86,223.29,161.12,213.88,147.57,124.01,88.22,1663.6
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2021,0.0,5.03,9.2,25.93,2.45,37.76,21.58,18.21,99.77,39.04,27.54,19.48,37.31,6.76,350.06
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2021,0.0,39.46,50.26,37.01,39.73,16.25,54.39,44.14,51.58,76.39,43.08,7.47,10.44,22.07,492.27
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2021,0.0,35.39,40.22,77.13,30.4,152.32,41.64,83.35,135.0,146.36,131.95,76.08,95.94,61.93,1107.71
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2021,0.0,13.78,23.22,20.75,9.5,4.67,21.41,31.72,60.41,38.37,20.0,4.7,6.87,5.77,261.17
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2021,0.0,18.52,40.85,46.11,16.35,36.89,55.05,54.08,141.09,87.52,44.08,21.08,24.6,9.84,596.06
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2021,0.0,14.55,28.3,19.41,9.71,13.95,35.98,18.81,44.66,42.24,43.14,14.26,13.8,22.0,320.81
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2021,0.0,14.07,24.29,49.89,7.52,52.61,37.05,41.82,150.22,85.6,44.5,25.27,29.57,7.92,570.33
